name,lat,lon,code
Americana,-22.724252699506696,-47.3395492909725,290
Araçatuba,-21.1868410998752,-50.4393168498844,107
Araraquara,-21.7825221457448,-48.1858318132219,106
Bauru,-22.326608396586998,-49.092759305391,108
Cambuci,-23.5677084050662,-46.612272856135796,90
Campinas-Centro,-22.9025248038637,-47.057210742773506,89
Campinas-Taquaral,-22.8746189449543,-47.0589727566842,276
Campinas-V.União,-22.9467284160848,-47.119280861863295,275
Capão Redondo,-23.6683561456718,-46.7800433836767,269
Carapicuíba,-23.5313950283077,-46.8357797276639,263
Catanduva,-21.141942757601303,-48.98307527056029,248
Centro,-23.547806159703697,-46.6424144996321,94
Cerqueira César,-23.5535425616777,-46.6727047692529,91
Cid.Universitária-USP-Ipen,-23.5663417755292,-46.73741428195189,95
Congonhas,-23.616320078818198,-46.66346552737021,73
Cubatão-Centro,-23.8790267306876,-46.418483361896,87
Cubatão-Vale do Mogi,-23.831589008125402,-46.3695687908739,119
Cubatão-V.Parisi,-23.849416169959103,-46.3886762431427,66
Diadema,-23.6858764117137,-46.611621932375094,92
Grajaú-Parelheiros,-23.776265984399,-46.69696107836571,98
Guaratinguetá,-22.8019171385919,-45.1911223603662,289
Guarulhos,-23.463209382964898,-46.4962135994365,118
Guarulhos-Pimentas,-23.4401170078091,-46.40994877100061,279
Guarulhos-Paço Municipal,-23.455534258102304,-46.5185334030574,264
Ibirapuera,-23.591841990137898,-46.6606875025418,83
Interlagos,-23.6805076511499,-46.6750431583082,262
Itaim Paulista,-23.5015473609702,-46.42073683949229,266
Itaquera,-23.5800148313619,-46.466651411457796,97
Jacareí,-23.294199243541197,-45.96823386425079,259
Jaú,-22.2986196635248,-48.5674574048007,110
Jundiaí,-23.192003743039,-46.897097272538396,109
Limeira,-22.5636037767457,-47.4143140341751,281
Marg.Tietê-Pte Remédios,-23.518705831012202,-46.7433200408467,270
Marília,-22.199809487122803,-49.9599697461499,111
Mauá,-23.6685489997822,-46.4660002742069,65
Mogi das Cruzes,-23.518172230148,-46.1868605711067,287
Mooca,-23.5497340450694,-46.60041664533689,85
N.Senhora do Ó,-23.480098705950397,-46.692051922128805,96
Osasco,-23.526721419003803,-46.7920776611899,120
Parque D.Pedro II,-23.544845658680803,-46.6276755923666,72
Paulínia,-22.772321379337,-47.1548428657284,117
Paulínia Sul,-22.786806434379102,-47.136558881631096,112
Pico do Jaraguá,-23.456268899747602,-46.766097759005795,284
Pinheiros,-23.5614598947311,-46.7020165084763,99
Piracicaba,-22.701222340275397,-47.649652689872106,113
Pirassununga-EM,-22.0077128811569,-47.427564490464896,268
Presidente Prudente,-22.119936734765897,-51.4087770680215,114
Ribeirão Preto,-21.153941891967897,-47.828480526621,288
Santa Gertrudes,-22.4599552691691,-47.53629833949739,273
Santana,-23.505992722247502,-46.6289602999862,63
Santo Amaro,-23.654977229611397,-46.70999838176021,64
S.André Capuava,-23.6398036991568,-46.4916367657882,100
S.André-Centro,-23.6456163828539,-46.5363346692648,101
S.André-Paço Municipal,-23.6569941995448,-46.5309187564731,254
Santos,-23.963057204247498,-46.3211700936539,258
Santos-Ponta da Praia,-23.981295157364503,-46.3005095935412,260
S.Bernardo-Centro,-23.698671086452197,-46.5462321867186,272
S.Bernardo-Paulicéia,-23.6713539571073,-46.58466788588571,102
São Caetano do Sul,-23.618442772969498,-46.5563539375078,86
São José Do Rio Preto,-20.784689283930103,-49.3982777928726,116
S.José Campos,-23.187887330251797,-45.871197623077705,88
S.José Campos-Jd.Satélite,-23.223645481701897,-45.890799996297105,277
S.José Campos-Vista Verde,-23.183697345139198,-45.8308969846329,278
S.Miguel Paulista,-23.4985264108007,-46.4448027795288,236
Sorocaba,-23.5024265843066,-47.4790299116269,67
Taboão da Serra,-23.6093238641752,-46.7582943678197,103
Tatuí,-23.360751537856803,-47.870799066472905,256
Taubaté,-23.0323509589424,-45.575805024983396,280
